Animal ID,Name,Species,Breed Type,Age,Gender,Size,Energy Level,Health,Behavior,Location,Availability,Good with Kids,Good with Cats,Good with Dogs
RSPCA-0001,Leia,Reptile,Whites Tree Frog,1.5 years,Female,Small,Low,"Hyperthyroidism, on medication",Loves car rides,Surrey Branch,Available,Yes,Yes,Unknown
RSPCA-0002,Jax,Bird,Abyssinian Lovebird,4 y/o,F,Tiny,High,"Seizure disorder, controlled with medication",Water-loving,London Branch,Quarantine,No,No,No
RSPCA-0003,Samson,Dog,Border Terrier,3.10 years,F,Tiny,Very High,"Chronic condition, managed with medication",Good for first-time owners,Hampshire Branch,Quarantine,Yes,Unknown,Unknown
RSPCA-0004,Maya,Bird,Green-winged Macaw,2y 7m,Male,Medium,Medium,"Good health, needs vaccines",Enjoys fetch games,Surrey Branch,Available,No,No,Unknown
RSPCA-0005,Pepper,Reptile,Clawed Frog,13 y/o,F,Small,Very Low,"Underweight, needs special diet",Snuggle expert,Kent Branch,Medical Hold,No,No,Yes
RSPCA-0006,Charlie,Dog,Australian Shepherd,5 y/o,M,Medium,Very High,"Heartworm positive, undergoing treatment",Loyal and devoted,Kent Branch,Medical Hold,Yes,Unknown,Yes
RSPCA-0007,Stella,Bird,Gouldian Finch,1y 10m,F,Small,High,"Good health, not neutered",Protective instincts,London Branch,Quarantine,Yes,No,No
RSPCA-0008,Jasper,Small Animal,Netherland Dwarf Rabbit,2y 0m,Male,Tiny,Very High,"Good health, not neutered",Water-loving,London Branch,Pending,Yes,Unknown,Unknown
RSPCA-0009,Coco,Dog,Xoloitzcuintli,1 years 9 months,Male,Medium,High,"Hyperthyroidism, on medication",Very affectionate,Surrey Branch,Medical Hold,Yes,Yes,Unknown
RSPCA-0010,Milo,Small Animal,Rex Rat,7.0 years,F,Tiny,High,"Underweight, needs special diet",Very affectionate,Hampshire Branch,Adopted,Yes,Yes,No
RSPCA-0011,Tucker,Small Animal,Tan Rabbit,4y 4m,Male,Tiny,Low,Blind but adapts well,"High energy, needs exercise",Hampshire Branch,Adopted,Unknown,No,Unknown
RSPCA-0012,Angel,Cat,Sphynx,2y 2m,M,Small,Medium,"Underweight, needs special diet",Watches TV with you,Surrey Branch,Pending,Unknown,Yes,Yes
