ID,Pet Name,Type,Animal Breed,Age (months),Sex,Size,Energy Level,Medical Status,Behavior Notes,Shelter Location,Status,Good With Children,Good With Other Animals,Special Needs
ARC-0001,Sophie,Dog,Chihuahua,44,M,Tiny,Very Low,Deaf but adapts well,Needs yard space,"Animal Rescue Center, Leeds",Not Available,Unknown,Yes,No
ARC-0002,Lily,Dog,Weimaraner,22,F,Medium,Low,"Special needs, but good quality of life",Experienced owner preferred; not compatible with other dogs,"Animal Rescue Center, Leeds",Available,Yes,No,No
ARC-0003,Finn,Cat,Bombay,5,F,Small,Medium,"Allergies, managed with medication",Not good with dogs,"Animal Rescue Center, Birmingham",Not Available,No,Yes,No
ARC-0004,Maverick,Dog,Welsh Corgi,97,M,Small,High,"Fully vaccinated, excellent health",Independent nature,"Animal Rescue Center, Birmingham",On Hold,Yes,Unknown,No
ARC-0005,Olive,Cat,American Wirehair,15,Unknown,Small,Low,Partial hearing loss,Gets along with other pets,"Animal Rescue Center, Leeds",On Hold,Unknown,Unknown,No
ARC-0006,Louie,Cat,Highlander,6,M,Small,Medium,"Good health, not neutered",Food motivated; not compatible with other dogs,"Animal Rescue Center, Birmingham",Not Available,Unknown,Unknown,Yes
ARC-0007,Phoebe,Small Animal,Silkie Guinea Pig,22,F,Small,Very High,"Dental issues, needs soft food",Enjoys walks,"Animal Rescue Center, Manchester",Not Available,Yes,No,Yes
ARC-0008,Jack,Small Animal,Florida White,48,Unknown,Small,Low,"Vision impaired, adapts well",Well-trained and obedient; not good with kids,"Animal Rescue Center, Birmingham",On Hold,Unknown,Yes,No
ARC-0009,Sammy,Small Animal,Long-tailed Chinchilla,35,Unknown,Small,Medium,"Fully vaccinated, excellent health",Good for first-time owners,"Animal Rescue Center, London",Available,No,Unknown,Yes
ARC-0010,Atlas,Cat,Serengeti,37,F,Large,Medium,"Allergies, managed with medication",Not good with dogs; not good with kids,"Animal Rescue Center, Leeds",On Hold,Yes,Yes,No
ARC-0011,Jax,Dog,Boxer,37,F,Large,Very High,"Diabetes, managed with insulin",Quiet and reserved,"Animal Rescue Center, Leeds",On Hold,Unknown,Unknown,No
ARC-0012,Blossom,Reptile,Gila Monster,34,F,Small,Low,Overweight but otherwise healthy,Vocal and expressive,"Animal Rescue Center, Manchester",Not Available,Yes,Yes,Yes
ARC-0013,Precious,Reptile,Fire Salamander,4,Unknown,Small,Very Low,"Underweight, needs special diet",Not good with cats,"Animal Rescue Center, Manchester",Available,No,Yes,No
ARC-0014,Titan,Dog,Xoloitzcuintli,43,F,Large,Very High,Healthy with seasonal allergies,Independent nature,"Animal Rescue Center, Manchester",Not Available,Yes,Yes,Yes
ARC-0015,Thor,Dog,Gordon Setter,25,M,Large,Very Low,Partial hearing loss,Selective with friends; not compatible with other dogs,"Animal Rescue Center, Leeds",Not Available,No,Yes,Yes
ARC-0016,Bella,Dog,Shetland Sheepdog,30,M,Medium,Very Low,Senior with arthritis,Confident and bold; not good with kids,"Animal Rescue Center, Manchester",Adopted,Unknown,No,Yes
ARC-0017,Lola,Reptile,Whites Tree Frog,21,M,Small,Very Low,"Fully vaccinated, excellent health",Follows you everywhere,"Animal Rescue Center, London",Adopted,Unknown,Yes,Yes
ARC-0018,Simba,Cat,Javanese,59,M,Small,Medium,Healthy with seasonal allergies,Social with other animals,"Animal Rescue Center, Leeds",Adopted,Yes,Unknown,Yes
ARC-0019,Pepper,Reptile,Blood Python,41,Unknown,Large,Low,"Good health, needs vaccines",Intelligent and trainable; doesn't get along with cats,"Animal Rescue Center, Birmingham",Available,Yes,Yes,No
ARC-0020,Sunny,Reptile,Chinese Water Dragon,6,Unknown,Medium,Very Low,"Healthy, recently spayed",Selective with friends; not compatible with other dogs,"Animal Rescue Center, London",Not Available,Yes,Yes,No
ARC-0021,Archie,Reptile,Gargoyle Gecko,122,F,Tiny,Very Low,"Hypothyroidism, on medication",Selective with friends; doesn't get along with cats,"Animal Rescue Center, Leeds",On Hold,Unknown,Unknown,No
ARC-0022,Ruby,Small Animal,Chocolate Ferret,59,M,Small,Low,Blind but adapts well,Toy motivated; not good with kids; not compatible with other dogs,"Animal Rescue Center, Leeds",Adopted,No,Unknown,Yes
ARC-0023,Emma,Bird,Diamond Firetail Finch,50,F,Small,Very High,"Hypothyroidism, on medication",Follows you everywhere,"Animal Rescue Center, Manchester",Adopted,No,No,Yes
ARC-0024,Lucky,Cat,Raas,1,F,Small,Medium,"Allergies, managed with medication",Gentle with smaller animals,"Animal Rescue Center, Birmingham",Adopted,No,No,No
ARC-0025,Poppy,Reptile,Pink-tongued Skink,14,Unknown,Small,Low,"Recovering from injury, making progress",Toy motivated; doesn't get along with cats; not compatible with other dogs,"Animal Rescue Center, London",On Hold,Yes,No,No
ARC-0026,Princess,Small Animal,Algerian Gerbil,155,F,Small,Medium,"Chronic condition, managed with medication",Inquisitive explorer; not good with kids; not compatible with other dogs,"Animal Rescue Center, Manchester",On Hold,Unknown,Yes,Yes
ARC-0027,Baxter,Cat,Khao Manee,2,Unknown,Large,Low,"Metabolic disorder, special diet","Timid, needs patience","Animal Rescue Center, Leeds",Adopted,Yes,No,No
ARC-0028,Dexter,Cat,Tiffanie,54,Unknown,Medium,Low,"FeLV+ (cats), otherwise healthy",Perfect apartment pet; not good with kids; doesn't get along with cats,"Animal Rescue Center, Birmingham",Adopted,Yes,No,No
ARC-0029,Holly,Small Animal,European Hamster,27,Unknown,Tiny,High,"Seizure disorder, controlled with medication",Watches TV with you; not compatible with other dogs,"Animal Rescue Center, London",Adopted,Yes,No,No
ARC-0030,Izzy,Cat,Selkirk Rex,6,Unknown,Small,Low,"Good health, needs vaccines",Cautious with strangers,"Animal Rescue Center, Leeds",Available,No,Yes,No
ARC-0031,Mia,Small Animal,European Hamster,12,M,Tiny,High,"Allergies, managed with medication",Water-loving; not good with kids; doesn't get along with cats,"Animal Rescue Center, London",Available,No,No,No
ARC-0032,Jake,Bird,Parakeet,55,F,Tiny,High,"Heartworm positive, undergoing treatment",Well-trained and obedient,"Animal Rescue Center, Leeds",Adopted,Yes,Unknown,Yes
ARC-0033,Millie,Small Animal,Long-tailed Chinchilla,84,F,Tiny,Medium,"Recovering from surgery, otherwise healthy","High energy, needs exercise; not good with kids","Animal Rescue Center, Manchester",Available,No,No,No
ARC-0034,Blossom,Bird,Sulfur-crested Cockatoo,60,M,Medium,High,"Recovering from injury, making progress",Sunbathing enthusiast; not compatible with other dogs,"Animal Rescue Center, Birmingham",Available,Yes,Yes,Yes
